"city","latitude","longitude"
"Anzola dell'Emilia",44.5466843,11.1933259
"Athens",37.9755648,23.7348324
"Bruselas",50.8467372,4.3524930
"Citta di Castello",43.4574214,12.2403118
"Como",45.9394759,9.1494101
"Dugo Selo",45.8060388,16.2377710
"Elbasan",41.1126792,20.0820858
"Florencia",43.7697955,11.2556404
"Gjirokaster",40.0770871,20.1393359
"Iasi",47.1615598,27.5837814
"Kilkis",40.9935874,22.8741455
"Kocaeli",40.8216536,29.9507184
"La Valeta",35.8989979,14.5136607
"Nantes",47.2186371,-1.5541362
"Nápoles",40.8358846,14.2487679
"Pogdorica",42.4415238,19.2621081
"Perugia",43.1070321,12.4029962
"Peñafiel",41.5966366,-4.1215713
"Teramo",42.6581180,13.6978746
